instance_id,semantic_class_majority,n_points,mean_confidence,centroid_x,centroid_y,centroid_z,length,width,thickness,convex_hull_volume,ExG,GLI,VARI,NGRDI
16,2,42735,36.06154206154206,-2.8613618677798462,13.376895092030196,15.97138342866482,6.287902530503358,6.175097748683145,1.13048354791202,16.639723427583416,0.18283759695524401,0.23071446556032196,0.14253684652100918,0.10901954226104994
7,2,41069,20.07716282354087,5.945522869516847,10.833530082219376,25.304946956026583,6.0210180675809255,5.9123516498122,1.8450765715679514,25.93035861671321,0.24658281925348968,0.22862939274242763,1.6427498254320252,0.15030506412145586
18,2,40730,49.291087650380554,-1.8986256710502785,10.158952086448359,27.34284342127958,6.474872444635096,4.054301931124806,1.7626165679612065,20.89894064892799,0.18155110411461417,0.17265905330350412,0.17341165156069702,0.10982409227577584
17,2,39823,27.563192125153805,0.8650140017562341,16.601298205461163,15.343483822183615,5.744813820204426,5.346442289394654,0.9770818736113083,12.89499926542226,0.175656495679657,0.19636068163928352,0.10685253010154701,0.08014952523324305
3,2,38270,32.441912725372354,-3.7158451078298604,8.624737508287188,8.580501435890106,5.757351266780567,5.122810484023534,0.9868718028335954,13.917452725794803,0.207260179221937,0.2360258741252538,0.13310066288584613,0.1033301114230347
24,2,28419,21.905274640205498,8.12737900547267,14.606828714451392,26.315505676467073,5.293328894315355,4.399239712822284,1.881004931983871,17.565750321898886,0.1936170844001769,0.2462085592794684,0.22656627558249948,0.1638689405317068
13,2,27897,25.567444528085456,6.182392053788536,14.63621527973953,5.05648952826715,4.52708724297954,3.6311480680383585,0.9687706625718031,7.593355328023048,0.14232326618857746,0.08312542764345528,-0.05353499931320974,-0.03565398038956699
27,2,20565,28.935764648674933,6.180862410125717,8.662125811046385,10.902892592845507,4.1771508296954325,3.723499941349873,1.365024841210414,7.862136144653186,0.347090001573204,0.2329862147605567,0.1552464267588317,0.11817724151607749
21,2,19341,46.41595574168864,9.881863261138413,18.600947605968166,31.7355941872606,4.507642371128187,3.731570341266427,1.3088291850685292,8.18909135896094,0.31697592536833774,0.19278830678368264,0.21700831722473493,0.14236570208165067
6,2,18615,36.46043513295729,2.6252681773583424,9.647295228030714,28.06857541474063,3.9287287787138814,3.5127761870443615,1.3071321873891457,7.510102881785781,0.237953790165005,0.21991794044414822,0.23129262311697169,0.1558643016273926
12,2,17093,46.530977593166796,3.6055262081156014,16.451793705981842,25.600010231621166,3.9961765454401235,3.4813526879173224,1.543412896604808,8.138219378012785,0.20509301479908643,0.19456915056332502,0.198331418974691,0.1341930691939235
33,2,12896,6.588477047146402,1.705145911464806,9.179266545204591,2.5489051529003395,3.047973340558759,2.783287806218859,0.9201039447134419,3.643391297964875,0.32182406461343843,0.20406260350229818,0.06735751207381035,0.054155015646493415
32,2,12293,15.540063450744325,2.9515442758638866,12.65882129758509,5.274068059853411,3.390059837624686,2.983400387164888,1.246431293368839,4.7624576290900364,0.3165212786489362,0.1983860561733632,0.09588715483172726,0.07080225276661724
29,2,8916,4.785217586361597,1.415216504654034,10.676365365524676,6.3746493103496755,2.6196740543097543,2.1107913418517184,0.805980683545171,2.1998477331594826,0.26826370745696215,0.2898987459539923,0.17852037910418694,0.14315053780657055
26,2,8524,1.4818160488033787,5.64987446514868,7.972163881584477,9.839685515461646,3.1902498570187294,2.5036491942938497,1.9806670641742463,5.171196266833076,0.16124989648604632,0.2165595031421077,8.934089403453982,0.12314032140974067
15,2,7209,15.51518934665002,4.962941863421104,8.677688514801305,6.378054149825452,2.315976862903658,2.3804693863084916,0.47165117469868734,1.2455475149830626,0.24581473593737674,0.17306320541558975,0.09075843147614016,0.06869246537309767
31,2,6099,6.672405312346286,3.938846228016543,10.909349360165448,9.535012573741831,2.179391683120702,2.215485588385711,0.854055207005254,1.8099715633948539,0.24188214718581316,0.22379575152438946,0.16824827567710846,0.12311329388642601
28,2,5193,22.561910263816678,6.224463527399404,11.866163136176434,9.539577846303798,2.071067537887174,1.9671681968292019,0.8318275913419373,1.2964401148532956,0.3936294332868907,0.23741804635318875,0.1465320969942413,0.11271428369620659
23,2,4639,31.058417762448805,0.39520344123683254,7.499106729070201,27.360905057255376,1.9870799030866855,1.7467648362896049,0.5511320260831469,1.0229286289656034,0.1785188660504081,0.19176368962745377,0.18361776360863072,0.12718555271768064
30,2,2754,4.557734204793029,1.8463129772996458,11.793939329701422,6.185246895968875,1.5833576566673142,1.070737803353142,0.5927340469794474,0.424760754192968,0.344401725831945,0.3067668201019895,0.17268194350601163,0.14315535419159814
22,2,1473,14.734555329260013,9.844059755002307,16.15094465850221,31.138725400221606,1.2800171746695743,1.002538212247961,0.42591962181228105,0.21196001155245234,0.3678234362312474,0.23410179913186382,0.18953663646392746,0.1372987469177834
